statecode,countycode,countyname
"5","121","County 5-121"
"5","123","County 5-123"
"5","125","County 5-125"
"6","0","Unassigned"
"6","1","County 6-1"
"6","3","County 6-3"
"6","5","County 6-5"
"6","7","County 6-7"
"6","9","County 6-9"
"6","11","County 6-11"
"6","13","County 6-13"
"6","15","County 6-15"
"6","201","County 6-201"
"6","207","County 6-207"
"6","209","County 6-209"
"6","211","County 6-211"
"7","0","Unassigned"
"7","1","County 7-1"
"7","3","County 7-3"
"7","5","County 7-5"
"7","119","County 7-119"
"7","126","County 7-126"
"7","205","County 7-205"
"8","0","Unassigned"
"8","1","County 8-1"
"9","0","Unassigned"
"9","1","County 9-1"
"9","2","County 9-2"
"9","3","County 9-3"
"9","5","County 9-5"
"9","7","County 9-7"
"9","9","County 9-9"
"9","11","County 9-11"
"9","13","County 9-13"
"9","15","County 9-15"
"9","17","County 9-17"
"9","19","County 9-19"
"9","21","County 9-21"
"9","23","County 9-23"
"9","25","County 9-25"
"9","27","County 9-27"
"9","29","County 9-29"
"9","31","County 9-31"
"9","33","County 9-33"
"9","35","County 9-35"
"9","37","County 9-37"
"9","38","County 9-38"
"9","39","County 9-39"
"9","41","County 9-41"
"9","43","County 9-43"
"9","45","County 9-45"
"9","47","County 9-47"
"9","49","County 9-49"
"9","51","County 9-51"
"9","53","County 9-53"
"9","55","County 9-55"
"9","57","County 9-57"
"9","59","County 9-59"
"9","61","County 9-61"
"9","63","County 9-63"
"9","65","County 9-65"
"9","67","County 9-67"
"9","69","County 9-69"
"9","71","County 9-71"
"9","73","County 9-73"
"9","75","County 9-75"
"9","77","County 9-77"
"9","79","County 9-79"
"9","81","County 9-81"
"9","83","County 9-83"
"9","85","County 9-85"
"9","87","County 9-87"
"9","89","County 9-89"
"9","91","County 9-91"
"9","93","County 9-93"
"9","95","County 9-95"
"9","97","County 9-97"
"9","99","County 9-99"
"9","101","County 9-101"
"9","103","County 9-103"
"9","105","County 9-105"
"9","107","County 9-107"
"9","109","County 9-109"
"9","111","County 9-111"
"9","113","County 9-113"
"9","115","County 9-115"
"9","117","County 9-117"
"9","119","County 9-119"
"9","121","County 9-121"
"9","123","County 9-123"
"9","125","County 9-125"
"9","127","County 9-127"
"9","129","County 9-129"
"9","131","County 9-131"
"9","133","County 9-133"
"9","205","County 9-205"
"9","209","County 9-209"
"9","211","County 9-211"
"9","215","County 9-215"
"9","217","County 9-217"
"9","221","County 9-221"
"9","225","County 9-225"
"9","229","County 9-229"
"9","231","County 9-231"
"9","233","County 9-233"
"9","235","County 9-235"
"9","237","County 9-237"
"9","245","County 9-245"
"9","253","County 9-253"
"9","257","County 9-257"
"9","261","County 9-261"
"9","265","County 9-265"
"9","271","County 9-271"
"9","275","County 9-275"
"9","281","County 9-281"
"9","285","County 9-285"
"9","287","County 9-287"
"9","289","County 9-289"
"9","291","County 9-291"
"9","299","County 9-299"
"9","301","County 9-301"
"9","303","County 9-303"
"9","309","County 9-309"
"9","311","County 9-311"
"9","313","County 9-313"
"9","315","County 9-315"
"9","322","County 9-322"
"9","323","County 9-323"
"9","324","County 9-324"
"9","327","County 9-327"
"9","329","County 9-329"
"9","330","County 9-330"
"9","331","County 9-331"
"9","336","County 9-336"
"9","341","County 9-341"
"9","344","County 9-344"
"9","346","County 9-346"
"10","0","Unassigned"
"10","1","County 10-1"
"10","3","County 10-3"
"10","5","County 10-5"
"10","7","County 10-7"
"10","9","County 10-9"
"10","11","County 10-11"
"10","13","County 10-13"
"10","15","County 10-15"
"10","17","County 10-17"
"10","19","County 10-19"
"10","21","County 10-21"
"10","23","County 10-23"
"10","25","County 10-25"
"10","27","County 10-27"
"10","28","County 10-28"
"10","29","County 10-29"
"10","31","County 10-31"
"10","33","County 10-33"
"10","35","County 10-35"
"10","37","County 10-37"
"10","39","County 10-39"
"10","43","County 10-43"
"10","45","County 10-45"
"10","47","County 10-47"
"10","49","County 10-49"
"10","51","County 10-51"
"10","53","County 10-53"
"10","55","County 10-55"
"10","57","County 10-57"
"10","59","County 10-59"
"10","61","County 10-61"
"10","63","County 10-63"
"10","65","County 10-65"
"10","67","County 10-67"
"10","69","County 10-69"
"10","71","County 10-71"
"10","73","County 10-73"
"10","75","County 10-75"
"10","77","County 10-77"
"10","79","County 10-79"
"10","81","County 10-81"
"10","83","County 10-83"
"10","85","County 10-85"
"10","87","County 10-87"
"10","89","County 10-89"
"10","91","County 10-91"
"10","93","County 10-93"
"10","95","County 10-95"
"10","97","County 10-97"
"10","99","County 10-99"
"10","101","County 10-101"
"10","102","County 10-102"
"10","103","County 10-103"
"10","105","County 10-105"
"10","107","County 10-107"
"10","109","County 10-109"
"10","111","County 10-111"
"10","113","County 10-113"
"10","115","County 10-115"
"10","117","County 10-117"
"10","119","County 10-119"
"10","121","County 10-121"
"10","123","County 10-123"
"10","125","County 10-125"
"10","127","County 10-127"
"10","129","County 10-129"
"10","131","County 10-131"
"10","133","County 10-133"
"10","135","County 10-135"
"10","137","County 10-137"
"10","139","County 10-139"
"10","141","County 10-141"
"10","143","County 10-143"
"10","145","County 10-145"
"10","147","County 10-147"
"10","149","County 10-149"
"10","151","County 10-151"
"10","153","County 10-153"
"10","155","County 10-155"
"10","157","County 10-157"
"10","159","County 10-159"
"10","161","County 10-161"
"10","163","County 10-163"
"10","165","County 10-165"
"10","167","County 10-167"
"10","169","County 10-169"
"10","171","County 10-171"
"10","173","County 10-173"
"10","175","County 10-175"
"10","177","County 10-177"
"10","179","County 10-179"
"10","181","County 10-181"
"10","183","County 10-183"
"10","185","County 10-185"
"10","187","County 10-187"
"10","189","County 10-189"
"10","191","County 10-191"
"10","193","County 10-193"
"10","195","County 10-195"
"10","197","County 10-197"
"10","199","County 10-199"
"10","201","County 10-201"
"10","205","County 10-205"
"10","207","County 10-207"
"10","209","County 10-209"
"10","211","County 10-211"
"10","213","County 10-213"
"10","215","County 10-215"
"10","217","County 10-217"
"10","219","County 10-219"
"10","221","County 10-221"
"10","223","County 10-223"
"10","225","County 10-225"
"10","227","County 10-227"
"10","229","County 10-229"
"10","231","County 10-231"
"10","233","County 10-233"
"10","235","County 10-235"
"10","237","County 10-237"
"10","239","County 10-239"
"10","241","County 10-241"
"10","243","County 10-243"
"10","245","County 10-245"
"10","247","County 10-247"
"10","249","County 10-249"
"10","251","County 10-251"
"10","253","County 10-253"
"10","255","County 10-255"
"10","257","County 10-257"
"10","259","County 10-259"
"10","261","County 10-261"
"10","263","County 10-263"
"10","265","County 10-265"
"10","267","County 10-267"
"10","269","County 10-269"
"10","271","County 10-271"
"10","273","County 10-273"
"10","275","County 10-275"
"10","277","County 10-277"
"10","279","County 10-279"
"10","281","County 10-281"
"10","283","County 10-283"
"10","285","County 10-285"
"10","287","County 10-287"
"10","289","County 10-289"
"10","291","County 10-291"
"10","293","County 10-293"
"10","295","County 10-295"
"10","297","County 10-297"
"10","299","County 10-299"
"10","301","County 10-301"
"10","303","County 10-303"
"10","305","County 10-305"
"10","307","County 10-307"
"10","309","County 10-309"
"10","311","County 10-311"
"10","313","County 10-313"
"10","315","County 10-315"
"10","317","County 10-317"
"10","319","County 10-319"
"10","321","County 10-321"
"10","329","County 10-329"
"10","339","County 10-339"
"10","351","County 10-351"
"10","427","County 10-427"
"10","479","County 10-479"
"10","491","County 10-491"
"11","0","Unassigned"
"11","1","County 11-1"
"11","3","County 11-3"
"11","5","County 11-5"
"11","7","County 11-7"
"11","9","County 11-9"
"11","11","County 11-11"
"11","13","County 11-13"
"11","15","County 11-15"
"11","17","County 11-17"
"11","19","County 11-19"
"11","21","County 11-21"
"11","23","County 11-23"
"11","25","County 11-25"
"11","27","County 11-27"
"11","29","County 11-29"
"11","31","County 11-31"
"11","33","County 11-33"
"11","35","County 11-35"
"11","37","County 11-37"
"11","39","County 11-39"
"11","41","County 11-41"
"11","43","County 11-43"
"11","45","County 11-45"
"11","47","County 11-47"
"11","49","County 11-49"
"11","51","County 11-51"
"11","53","County 11-53"
"11","55","County 11-55"
"11","57","County 11-57"
"11","59","County 11-59"
"11","61","County 11-61"
"11","63","County 11-63"
"11","65","County 11-65"
"11","67","County 11-67"
"11","69","County 11-69"
"11","71","County 11-71"
"11","73","County 11-73"
"11","75","County 11-75"
"11","77","County 11-77"
"11","79","County 11-79"
"11","81","County 11-81"
"11","83","County 11-83"
"11","85","County 11-85"
"11","87","County 11-87"
"11","89","County 11-89"
"12","0","Unassigned"
"12","1","County 12-1"
"12","3","County 12-3"
"12","5","County 12-5"
"12","7","County 12-7"
"12","9","County 12-9"
"12","11","County 12-11"
"12","13","County 12-13"
"12","15","County 12-15"
"12","17","County 12-17"
"12","19","County 12-19"
"12","21","County 12-21"
"12","23","County 12-23"
"12","25","County 12-25"
"12","27","County 12-27"
"12","29","County 12-29"
"12","31","County 12-31"
"12","33","County 12-33"
"12","35","County 12-35"
"12","37","County 12-37"
"12","39","County 12-39"
"12","41","County 12-41"
"12","43","County 12-43"
"12","45","County 12-45"
"12","47","County 12-47"
"12","49","County 12-49"
"12","51","County 12-51"
"12","53","County 12-53"
"12","55","County 12-55"
"12","57","County 12-57"
"12","59","County 12-59"
"12","61","County 12-61"
"12","63","County 12-63"
"12","65","County 12-65"
"12","67","County 12-67"
"12","69","County 12-69"
"12","71","County 12-71"
"12","73","County 12-73"
"12","75","County 12-75"
"12","77","County 12-77"
"12","79","County 12-79"
"12","81","County 12-81"
"12","83","County 12-83"
"12","85","County 12-85"
"12","87","County 12-87"
"12","89","County 12-89"
"12","91","County 12-91"
"12","93","County 12-93"
"12","95","County 12-95"
"12","97","County 12-97"
"12","99","County 12-99"
"12","101","County 12-101"
"12","103","County 12-103"
"12","105","County 12-105"
"12","107","County 12-107"
"12","109","County 12-109"
"12","111","County 12-111"
"12","113","County 12-113"
"12","115","County 12-115"
"12","117","County 12-117"
"12","119","County 12-119"
"12","121","County 12-121"
"12","123","County 12-123"
"12","125","County 12-125"
"12","127","County 12-127"
"12","129","County 12-129"
"12","131","County 12-131"
"12","133","County 12-133"
"12","135","County 12-135"
"12","137","County 12-137"
"12","139","County 12-139"
"12","141","County 12-141"
"12","143","County 12-143"
"12","145","County 12-145"
"12","147","County 12-147"
"12","149","County 12-149"
"12","151","County 12-151"
"12","153","County 12-153"
"12","155","County 12-155"
"12","157","County 12-157"
"12","159","County 12-159"
"12","161","County 12-161"
"12","163","County 12-163"
"12","165","County 12-165"
"12","167","County 12-167"
"12","169","County 12-169"
"12","171","County 12-171"
"12","173","County 12-173"
"12","175","County 12-175"
"12","177","County 12-177"
"12","179","County 12-179"
"12","181","County 12-181"
"12","183","County 12-183"
"12","185","County 12-185"
"12","187","County 12-187"
"12","189","County 12-189"
"12","191","County 12-191"
"12","193","County 12-193"
"12","195","County 12-195"
"12","197","County 12-197"
"12","199","County 12-199"
"12","201","County 12-201"
"12","203","County 12-203"
"12","512","County 12-512"
"13","0","Unassigned"
"13","1","County 13-1"
"13","3","County 13-3"
"13","5","County 13-5"
"13","7","County 13-7"
"13","9","County 13-9"
"13","11","County 13-11"
"13","13","County 13-13"
"13","15","County 13-15"
"13","17","County 13-17"
"13","19","County 13-19"
"13","21","County 13-21"
"13","23","County 13-23"
"13","25","County 13-25"
"13","27","County 13-27"
"13","29","County 13-29"
"13","31","County 13-31"
"13","33","County 13-33"
"13","35","County 13-35"
"13","37","County 13-37"
"13","39","County 13-39"
"13","41","County 13-41"
"13","43","County 13-43"
"13","45","County 13-45"
"13","47","County 13-47"
"13","49","County 13-49"
"13","51","County 13-51"
"13","53","County 13-53"
"13","55","County 13-55"
"13","57","County 13-57"
"13","59","County 13-59"
"13","61","County 13-61"
"13","63","County 13-63"
"13","65","County 13-65"
"13","67","County 13-67"
"13","69","County 13-69"
"13","71","County 13-71"
"13","73","County 13-73"
"13","75","County 13-75"
"13","77","County 13-77"
"13","79","County 13-79"
"13","81","County 13-81"
"13","83","County 13-83"
"13","85","County 13-85"
"13","87","County 13-87"
"13","89","County 13-89"
"13","91","County 13-91"
"13","93","County 13-93"
"13","95","County 13-95"
"13","97","County 13-97"
"13","99","County 13-99"
"13","101","County 13-101"
"13","103","County 13-103"
"13","105","County 13-105"
"13","107","County 13-107"
"13","109","County 13-109"
"13","111","County 13-111"
"13","113","County 13-113"
"13","115","County 13-115"
"13","117","County 13-117"
"13","119","County 13-119"
"13","121","County 13-121"
"13","123","County 13-123"
"13","125","County 13-125"
"13","127","County 13-127"
"13","129","County 13-129"
"13","131","County 13-131"
"13","133","County 13-133"
"13","135","County 13-135"
"13","137","County 13-137"
"13","139","County 13-139"
"13","141","County 13-141"
"13","143","County 13-143"
"13","145","County 13-145"
"13","147","County 13-147"
"13","149","County 13-149"
"13","151","County 13-151"
"13","153","County 13-153"
"13","155","County 13-155"
"13","157","County 13-157"
"13","159","County 13-159"
"13","161","County 13-161"
"13","163","County 13-163"
"13","165","County 13-165"
"13","167","County 13-167"
"13","169","County 13-169"
"13","171","County 13-171"
"13","173","County 13-173"
"13","175","County 13-175"
"13","177","County 13-177"
"13","179","County 13-179"
"13","181","County 13-181"
"13","183","County 13-183"
"13","513","County 13-513"
"14","0","Unassigned"
"14","1","County 14-1"
"14","3","County 14-3"
"14","5","County 14-5"
"14","7","County 14-7"
"14","9","County 14-9"
"14","11","County 14-11"
"14","13","County 14-13"
"14","15","County 14-15"
"14","17","County 14-17"
"14","19","County 14-19"
"14","21","County 14-21"
"14","23","County 14-23"
"14","25","County 14-25"
"14","27","County 14-27"
"14","29","County 14-29"
"14","31","County 14-31"
"14","33","County 14-33"
"14","35","County 14-35"
"14","37","County 14-37"
"14","39","County 14-39"
"14","41","County 14-41"
"14","43","County 14-43"
"14","45","County 14-45"
"14","47","County 14-47"
"14","49","County 14-49"
"14","51","County 14-51"
"14","53","County 14-53"
"14","55","County 14-55"
"14","57","County 14-57"
"14","59","County 14-59"
"14","61","County 14-61"
"14","63","County 14-63"
"14","65","County 14-65"
"14","67","County 14-67"
"14","69","County 14-69"
"14","71","County 14-71"
"14","73","County 14-73"
"14","75","County 14-75"
"14","77","County 14-77"
"14","79","County 14-79"
"14","81","County 14-81"
"14","83","County 14-83"
"14","85","County 14-85"
"14","87","County 14-87"
"14","89","County 14-89"
"14","91","County 14-91"
"14","93","County 14-93"
"14","95","County 14-95"
"14","97","County 14-97"
"14","99","County 14-99"
"14","101","County 14-101"
"14","103","County 14-103"
"14","105","County 14-105"
"14","107","County 14-107"
"14","109","County 14-109"
"14","111","County 14-111"
"14","113","County 14-113"
"14","115","County 14-115"
"14","117","County 14-117"
"14","119","County 14-119"
"14","121","County 14-121"
"14","123","County 14-123"
"14","125","County 14-125"
"14","127","County 14-127"
"14","129","County 14-129"
"14","131","County 14-131"
"14","133","County 14-133"
"14","135","County 14-135"
"14","137","County 14-137"
"14","139","County 14-139"
"14","141","County 14-141"
"14","143","County 14-143"
"14","145","County 14-145"
"14","147","County 14-147"
"14","149","County 14-149"
"14","151","County 14-151"
"14","153","County 14-153"
"14","155","County 14-155"
"14","157","County 14-157"
"14","159","County 14-159"
"14","161","County 14-161"
"14","163","County 14-163"
"14","165","County 14-165"
"14","167","County 14-167"
"14","169","County 14-169"
"14","171","County 14-171"
"14","173","County 14-173"
"14","175","County 14-175"
"14","177","County 14-177"
"14","179","County 14-179"
"14","181","County 14-181"
"14","183","County 14-183"
"14","185","County 14-185"
"14","187","County 14-187"
"14","189","County 14-189"
"14","191","County 14-191"
"14","193","County 14-193"
"14","195","County 14-195"
"14","197","County 14-197"
"15","0","Unassigned"
"15","1","County 15-1"
"15","3","County 15-3"
"15","5","County 15-5"
"15","7","County 15-7"
"15","9","County 15-9"
"15","11","County 15-11"
"15","13","County 15-13"
"15","15","County 15-15"
"15","17","County 15-17"
"15","19","County 15-19"
"15","21","County 15-21"
"15","23","County 15-23"
"15","25","County 15-25"
"15","27","County 15-27"
"15","29","County 15-29"
"15","31","County 15-31"
"15","33","County 15-33"
"15","35","County 15-35"
"15","37","County 15-37"
"15","39","County 15-39"
"15","41","County 15-41"
"15","43","County 15-43"
"15","45","County 15-45"
"15","47","County 15-47"
"15","49","County 15-49"
"15","51","County 15-51"
"15","53","County 15-53"
"15","55","County 15-55"
"15","57","County 15-57"
"15","59","County 15-59"
"15","61","County 15-61"
"15","63","County 15-63"
"15","65","County 15-65"
"15","67","County 15-67"
"15","69","County 15-69"
"15","71","County 15-71"
"15","73","County 15-73"
"15","75","County 15-75"
"15","77","County 15-77"
"15","79","County 15-79"
"15","81","County 15-81"
"15","83","County 15-83"
"15","85","County 15-85"
"15","87","County 15-87"
"15","89","County 15-89"
"15","91","County 15-91"
"15","93","County 15-93"
"15","95","County 15-95"
"15","97","County 15-97"
"15","99","County 15-99"
"15","101","County 15-101"
"15","103","County 15-103"
"15","105","County 15-105"
"15","107","County 15-107"
"15","109","County 15-109"
"15","111","County 15-111"
"15","113","County 15-113"
"15","115","County 15-115"
"15","117","County 15-117"
"15","119","County 15-119"
"15","121","County 15-121"
"15","123","County 15-123"
"15","125","County 15-125"
"15","127","County 15-127"
"15","129","County 15-129"
"15","131","County 15-131"
"15","133","County 15-133"
"15","135","County 15-135"
"15","137","County 15-137"
"15","139","County 15-139"
"15","141","County 15-141"
"15","143","County 15-143"
"15","145","County 15-145"
"15","147","County 15-147"
"15","149","County 15-149"
"15","151","County 15-151"
"15","153","County 15-153"
"15","155","County 15-155"
"15","157","County 15-157"
"15","159","County 15-159"
"15","161","County 15-161"
"15","163","County 15-163"
"15","165","County 15-165"
"15","167","County 15-167"
"15","169","County 15-169"
"15","171","County 15-171"
"15","173","County 15-173"
"15","175","County 15-175"
"15","177","County 15-177"
"15","179","County 15-179"
"15","181","County 15-181"
"15","183","County 15-183"
"15","185","County 15-185"
"15","187","County 15-187"
"15","189","County 15-189"
"15","191","County 15-191"
"15","193","County 15-193"
"15","195","County 15-195"
"15","197","County 15-197"
"15","199","County 15-199"
"15","201","County 15-201"
"15","203","County 15-203"
"15","205","County 15-205"
"15","207","County 15-207"
"15","209","County 15-209"
"16","0","Unassigned"
"16","1","County 16-1"
"16","3","County 16-3"
"16","5","County 16-5"
"16","7","County 16-7"
"16","9","County 16-9"
"16","11","County 16-11"
"16","13","County 16-13"
"16","15","County 16-15"
"16","17","County 16-17"
"16","19","County 16-19"
"16","21","County 16-21"
"16","23","County 16-23"
"16","25","County 16-25"
"16","27","County 16-27"
"16","29","County 16-29"
"16","31","County 16-31"
"16","33","County 16-33"
"16","35","County 16-35"
"16","37","County 16-37"
"16","39","County 16-39"
"16","41","County 16-41"
"16","43","County 16-43"
"16","45","County 16-45"
"16","47","County 16-47"
"16","49","County 16-49"
"16","51","County 16-51"
"16","53","County 16-53"
"16","55","County 16-55"
"16","57","County 16-57"
"16","59","County 16-59"
"16","61","County 16-61"
"16","63","County 16-63"
"16","65","County 16-65"
"16","67","County 16-67"
"16","69","County 16-69"
"16","71","County 16-71"
"16","73","County 16-73"
"16","75","County 16-75"
"16","77","County 16-77"
"16","79","County 16-79"
"16","81","County 16-81"
"16","83","County 16-83"
"16","85","County 16-85"
"16","87","County 16-87"
"16","89","County 16-89"
"16","91","County 16-91"
"16","93","County 16-93"
"16","95","County 16-95"
"16","97","County 16-97"
"16","99","County 16-99"
"16","101","County 16-101"
"16","103","County 16-103"
"16","105","County 16-105"
"16","107","County 16-107"
"16","109","County 16-109"
"16","111","County 16-111"
"16","113","County 16-113"
"16","115","County 16-115"
"16","117","County 16-117"
"16","119","County 16-119"
"16","121","County 16-121"
"16","123","County 16-123"
"16","125","County 16-125"
"16","127","County 16-127"
"16","129","County 16-129"
"16","131","County 16-131"
"16","133","County 16-133"
"16","135","County 16-135"
"16","137","County 16-137"
"16","139","County 16-139"
"16","141","County 16-141"
"16","143","County 16-143"
"16","145","County 16-145"
"16","147","County 16-147"
"16","149","County 16-149"
"16","151","County 16-151"
"16","153","County 16-153"
"16","155","County 16-155"
"16","157","County 16-157"
"16","159","County 16-159"
